rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.6,1,6,15,6,128.87964720011223,None,128.87964720011223,None,128.87964720011223,None,right,0.7726334000471979,128.96294270001817,None,128.87964720011223,None,129.76763340004254,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.4,1,7,16,2,129.98066090000793,None,129.98066090000793,None,129.98066090000793,None,left,0.8591482999036089,130.06232550006825,None,129.98066090000793,None,130.94973770005163,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.45,1,8,17,3,131.16130210005213,None,131.16130210005213,None,131.16130210005213,None,right,0.7168225001078099,131.24448560003657,None,131.16130210005213,None,131.9795135000022,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.3,2,0,18,1,132.19391060003545,None,132.19391060003545,None,132.19391060003545,None,right,0.8513904999708757,132.27652250009123,None,132.19391060003545,None,133.16150300006848,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.4,2,1,19,2,133.37601410003845,None,133.37601410003845,None,133.37601410003845,None,right,0.6624587998958305,133.4589011000935,None,133.37601410003845,None,134.15155770001002,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.5,2,2,20,4,134.35975110006984,None,134.35975110006984,None,134.35975110006984,None,right,0.511616799980402,134.44158130011056,None,134.35975110006984,None,134.97678770008497,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.6,2,3,21,6,135.19099630007986,None,135.19099630007986,None,135.19099630007986,None,right,0.3832993999822065,135.27407910011243,None,135.19099630007986,None,135.67596010002308,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.1,2,4,22,0,135.89036580000538,None,135.89036580000538,None,135.89036580000538,None,left,0.467685499927029,135.97326110000722,None,135.89036580000538,None,136.45879640011117,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.55,2,5,23,5,136.67294530000072,None,136.67294530000072,None,136.67294530000072,None,right,0.5333316000178456,136.7558568000095,None,136.67294530000072,None,137.30804030003492,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.7,2,6,24,7,137.52248010004405,None,137.52248010004405,None,137.52248010004405,None,right,0.3703108000336215,137.60555330000352,None,137.52248010004405,None,138.01643110008445,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
